Site_Location,Date,Quadrat_nb,AG_DW_g,BG_DW_g,AG_BG_ratio
L3F,2018-05-10,1,1.6343,6.9282,0.235890996
L3F,2018-05-10,2,0.4441,3.246,0.136814541
L3F,2018-05-10,3,1.7228,4.9867,0.345478974
L3F,2018-05-10,5,0.7835,5.3256,0.147119573
L3F,2018-05-10,6,1.2295,4.1093,0.299199377
L3F,2018-05-10,7,2.5531,10.624,0.240314383
PH,2018-05-14,1,0.4376,4.6034,0.095060173
PH,2018-05-14,2,0.0531,3.6881,0.014397657
PH,2018-05-14,3,0.6634,4.6892,0.141474025
PH,2018-05-14,4,1.3346,6.016,0.221841755
PH,2018-05-14,5,1.152,2.7288,0.422163588
PH,2018-05-14,6,0.3485,6.2237,0.05599563
Sambro Shallow,2018-05-17,1,4.5359,12.525,0.362147705
Sambro Shallow,2018-05-17,2,1.6253,5.5723,0.291674892
Sambro Shallow,2018-05-17,3,1.1269,20.5217,0.054912605
Sambro Shallow,2018-05-17,4,1.937,8.5039,0.227777843
Sambro Shallow,2018-05-17,5,3.5661,11.89,0.299924306
Sambro Shallow,2018-05-17,6,1.5572,17.8444,0.087265473
Sambro Deep,2018-05-17,1,1.6212,3.8159,0.424853901
Sambro Deep,2018-05-17,2,0.8131,2.4318,0.334361378
Sambro Deep,2018-05-17,3,0.6971,1.954,0.356755374
Sambro Deep,2018-05-17,4,0.8802,3.6504,0.24112426
Sambro Deep,2018-05-17,5,1.1993,3.1013,0.3867088
Sambro Deep,2018-05-17,6,0.8466,3.5293,0.239877596
TH Shallow,2018-05-22,1,1.0798,4.6429,0.232570161
TH Shallow,2018-05-22,2,0.4047,5.3341,0.075870344
TH Shallow,2018-05-22,3,0.7682,4.8272,0.159139874
TH Shallow,2018-05-22,4,0.2775,12.1819,0.022779698
TH Shallow,2018-05-22,5,1.3141,6.165,0.213154907
TH Shallow,2018-05-22,6,0.935,5.2099,0.179466017
TH Deep,2018-05-22,1,0.71,2.3823,0.298031314
TH Deep,2018-05-22,2,1.0499,3.1189,0.336625092
TH Deep,2018-05-22,3,0.6666,5.2424,0.127155501
TH Deep,2018-05-22,4,0.3189,0.9787,0.325840401
TH Deep,2018-05-22,5,0.3921,3.2536,0.120512663
TH Deep,2018-05-22,6,0.6238,5.0163,0.124354604
PH,2018-06-11,1,1.8059,2.5692,0.702903628
PH,2018-06-11,2,1.8106,1.6998,1.065184139
PH,2018-06-11,3,0.7745,1.0819,0.715870228
PH,2018-06-11,4,1.0051,2.8535,0.352234098
PH,2018-06-11,5,1.4229,2.9675,0.479494524
PH,2018-06-11,6,1.1498,1.9114,0.601548603
L3F,2018-06-12,1,1.642,2.6288,0.624619598
L3F,2018-06-12,2,7.3616,2.0137,3.655758057
L3F,2018-06-12,3,0.9301,1.2031,0.773086194
L3F,2018-06-12,4,3.5342,3.4964,1.01081112
L3F,2018-06-12,5,2.3161,4.0702,0.569038376
L3F,2018-06-12,6,0.9517,4.5324,0.209977054
TH Deep,2018-06-19,1,0.4384,3.1592,0.138769309
TH Deep,2018-06-19,2,1.0195,3.7794,0.269751812
TH Deep,2018-06-19,3,0.9378,4.8435,0.193620316
TH Deep,2018-06-19,4,0.2277,4.962,0.045888755
TH Deep,2018-06-19,5,0.7161,1.9546,0.36636652
TH Deep,2018-06-19,6,1.5622,3.308,0.472249093
TH Shallow,2018-06-19,1,1.2965,10.0927,0.128459183
TH Shallow,2018-06-19,2,0.7558,11.325,0.066737307
TH Shallow,2018-06-19,3,0.9416,6.8142,0.138182032
TH Shallow,2018-06-19,4,1.7567,10.1869,0.172446966
TH Shallow,2018-06-19,5,0.9812,10.6768,0.091900195
TH Shallow,2018-06-19,6,0.2675,6.6431,0.040267345
Sambro Deep,2018-06-20,1,1.161,3.9314,0.295314646
Sambro Deep,2018-06-20,2,1.2521,2.0283,0.617314993
Sambro Deep,2018-06-20,3,5.0722,5.8872,0.861564071
Sambro Deep,2018-06-20,4,1.127,2.9013,0.388446558
Sambro Deep,2018-06-20,5,2.7868,4.4534,0.625769075
Sambro Deep,2018-06-20,6,1.1701,5.2813,0.221555299
Sambro Shallow,2018-06-20,1,0.8346,5.2199,0.15988812
Sambro Shallow,2018-06-20,2,1.4564,8.3624,0.174160528
Sambro Shallow,2018-06-20,3,0.3464,6.2695,0.055251615
Sambro Shallow,2018-06-20,4,1.8674,9.7587,0.191357455
Sambro Shallow,2018-06-20,5,0.8754,11.7834,0.074290952
Sambro Shallow,2018-06-20,6,2.0491,17.3441,0.118143922
L3F,2018-07-09,1,16.0633,10.429,1.54025314
L3F,2018-07-09,2,5.1398,3.1701,1.621336866
L3F,2018-07-09,3,3.4459,2.2285,1.54628674
L3F,2018-07-09,4,5.8077,5.6828,1.021978602
