Site_Location,Date,Quadrat_nb,Den_total_m2,LAI_m2_per_m2
L3F,4/2/2019,1,192,0.749125689
L3F,4/2/2019,2,128,0.386069333
L3F,4/2/2019,3,256,0.770208237
L3F,4/2/2019,4,320,0.893923556
L3F,4/2/2019,5,160,0.315647704
L3F,4/2/2019,6,160,0.395808
L3F,4/2/2019,7,128,0.382140681
L3F,4/2/2019,8,192,0.480308978
L3F,4/2/2019,9,144,0.486012
L3F,4/2/2019,10,128,0.311519289
L3F,4/2/2019,11,176,NA
L3F,4/2/2019,12,128,NA
L3F,4/2/2019,13,160,NA
L3F,4/2/2019,14,128,NA
L3F,4/2/2019,15,80,NA
L3F,4/2/2019,16,96,NA
L3F,4/2/2019,17,64,NA
L3F,4/2/2019,18,80,NA
L3F,4/2/2019,19,96,NA
L3F,4/2/2019,20,144,NA
L3F,9/5/2018,1,208,2.501650667
L3F,9/5/2018,2,372,2.786073333
L3F,9/5/2018,3,224,2.065416059
L3F,9/5/2018,4,300,4.664195556
L3F,9/5/2018,5,188,2.2813612
L3F,9/5/2018,6,276,2.408437333
L3F,9/5/2018,7,264,2.799349667
L3F,9/5/2018,8,284,3.177380167
L3F,9/5/2018,9,240,3.46244
L3F,9/5/2018,10,360,4.575627333
L3F,8/8/2018,1,224,NA
L3F,8/8/2018,2,252,3.940118
L3F,8/8/2018,3,344,4.561287111
L3F,8/8/2018,4,292,NA
L3F,8/8/2018,5,220,3.620926833
L3F,8/8/2018,6,376,4.510342467
L3F,8/8/2018,7,420,4.629912
L3F,8/8/2018,8,460,8.249926222
L3F,8/8/2018,9,696,13.87377787
L3F,8/8/2018,10,316,5.157023444
L3F,7/9/2018,1,304,2.443011556
L3F,7/9/2018,2,208,2.173990963
L3F,7/9/2018,3,464,3.740376178
L3F,7/9/2018,4,684,5.421498
L3F,7/9/2018,5,856,9.015154222
L3F,7/9/2018,6,808,9.763322111
L3F,7/9/2018,7,556,6.159902378
L3F,7/9/2018,8,496,6.43100557
L3F,7/9/2018,9,520,5.92878
L3F,7/9/2018,20,440,NA
L3F,5/10/2018,1,464,5.568464
L3F,5/10/2018,2,272,2.657201244
L3F,5/10/2018,3,480,3.665502222
L3F,5/10/2018,4,464,3.10598163
L3F,5/10/2018,5,336,2.251829067
L3F,5/10/2018,6,560,4.389354667
L3F,5/10/2018,7,480,3.939299556
L3F,5/10/2018,8,448,3.953069037
L3F,5/10/2018,9,432,4.181848
L3F,5/10/2018,10,292,1.917131948
L3F,6/12/2018,1,380,7.45807
L3F,6/12/2018,2,328,3.885640459
L3F,6/12/2018,3,320,2.46209363
L3F,6/12/2018,4,316,3.904449185
L3F,6/12/2018,5,472,6.629114133
L3F,6/12/2018,6,380,6.23998
L3F,6/12/2018,7,412,5.013203793
L3F,6/12/2018,8,456,8.806774444
L3F,6/12/2018,9,436,6.414533733
L3F,6/12/2018,10,296,4.562583467
L3F,10/15/2018,1,352,1.968548267
L3F,10/15/2018,2,384,3.600494933
L3F,10/15/2018,3,272,2.240907259
L3F,10/15/2018,4,304,2.826801422
L3F,10/15/2018,5,256,1.465127348
L3F,10/15/2018,6,256,1.440073956
L3F,10/15/2018,7,176,1.171997037
L3F,10/15/2018,8,256,1.086739911
L3F,10/15/2018,9,128,1.448149333
L3F,10/15/2018,10,160,1.386248889
L3F,6/26/2019,1,292,3.827049333
L3F,6/26/2019,2,260,4.44189537
L3F,6/26/2019,3,196,2.970558578
L3F,6/26/2019,4,176,2.569905067
L3F,6/26/2019,5,184,4.255682844
L3F,6/26/2019,6,112,1.513991111
L3F,6/26/2019,7,220,4.409276667
L3F,6/26/2019,8,304,6.635576889
L3F,6/26/2019,9,336,3.118607644
L3F,6/26/2019,10,240,4.416616
L3F,11/28/2018,1,128,1.967363793
L3F,11/28/2018,2,160,1.898580444
PH,9/4/2018,1,880,8.699249778
PH,9/4/2018,2,656,6.089702667
PH,9/4/2018,3,416,2.933710578
PH,9/4/2018,4,720,7.262077333
PH,9/4/2018,5,528,7.239950667
PH,9/4/2018,6,560,6.508351111
PH,9/4/2018,7,384,4.946855822
PH,9/4/2018,8,624,5.211268978
PH,9/4/2018,9,592,5.975341037
PH,9/4/2018,10,608,6.785009778
PH,12/6/2018,1,320,1.277184
PH,12/6/2018,2,288,1.9250608
PH,12/6/2018,3,384,2.604197689
PH,12/6/2018,4,336,2.087770533
PH,12/6/2018,5,208,0.9206912
PH,12/6/2018,6,352,1.05386877
PH,12/6/2018,7,160,0.553557333
PH,12/6/2018,8,400,2.431644444
PH,8/7/2018,1,464,2.060732267
PH,8/7/2018,2,576,4.183656533
PH,8/7/2018,3,416,3.724269274
PH,8/7/2018,4,820,10.17715667
PH,8/7/2018,5,576,4.636736
PH,8/7/2018,6,656,5.463068385
PH,8/7/2018,7,768,6.9552
PH,8/7/2018,8,848,7.965193333
PH,8/7/2018,9,608,4.498528948
PH,8/7/2018,10,944,7.775846
PH,7/9/2019,1,408,5.400866
