"","Species","Genus","Season","mean_percent_mud","sd_mud","mean_percent_seagrass","sd_percent_seagrass"
"1","Laminaria digitata","digitata","Fall",11.8704766230935,4.41296292352418,2.05598328616624,1.04872468175923
"2","Laminaria digitata","digitata","Spring",10.5534657793922,4.95363102053275,2.68925589489355,1.15485934512174
"3","Laminaria digitata","digitata","Summer",11.5226649299353,5.27661789025046,2.98123731449617,0.46163819782689
"4","Laminaria digitata","digitata","Winter",9.44877055714015,6.45164858682741,2.44235146395365,0.888300406523172
"5","Saccharina latissima","latissima","Fall",17.6419432475714,8.96172272851683,4.31487535930638,3.41549442655845
"6","Saccharina latissima","latissima","Spring",16.0035260585246,6.88199879125194,5.39500479170497,3.78674371262361
"7","Saccharina latissima","latissima","Summer",18.3844075804896,7.78540281543843,5.98337267857885,2.6366197184461
"8","Saccharina latissima","latissima","Winter",16.1672795063881,9.66744424416348,5.88131682561773,1.83155700058247
"9","Zostera marina","marina","Fall",21.2728004971632,0.246546060529133,16.9550281125264,19.7289356985005
"10","Zostera marina","marina","Spring",20.4559025202413,7.31151980980665,19.2756876516154,18.3538716201906
"11","Zostera marina","marina","Summer",29.2955882352941,0.908840186407415,9.21470588235294,4.00971139449313
"12","Zostera marina","marina","Winter",13.3355223123732,8.45168304492966,4.14456135902637,1.22225128280503
"13","Laminaria digitata","digitata","Annual",10.8488444723903,4.15020845433786,2.5422069898774,0.78896154605613
"14","Saccharina latissima","latissima","Annual",17.0492890982434,6.4338062490665,5.39364241380199,2.38477586162043
"15","Zostera marina","marina","Annual",21.089953391268,7.38312980390871,12.3974957513803,12.1673485541071
