"","Season","Species","mean_daily_season_DOC_mg_evol_per_gDW","sd_mean_daily_season_DOC_mg_evol_per_gDW","mean_daily_season_DOC_mg_evol_per_ind","sd_mean_daily_season_DOC_mg_evol_per_ind","total_season_DOC_mg_evol_per_gDW","sd_total_season_DOC_mg_evol_per_gDW","total_season_DOC_mg_evol_per_ind","sd_total_season_DOC_mg_evol_per_ind"
"1","Fall","L_digitata",2.10466647259832,1.14901677146905,16.4974564285608,7.55131379364955,185.210649588652,101.113475889276,1451.77616571335,664.515613841161
"2","Fall","S_latissima",1.44737654368023,1.52022022101113,1.86941289760073,4.61579235190037,127.36913584386,133.77937944898,164.508334988864,406.189726967232
"3","Fall","Z_marina",1.49600028665615,1.78300752692388,0.232653191677248,0.443310853320093,131.648025225741,156.904662369302,20.4734808675978,39.0113550921682
"4","Spring","L_digitata",0.402991926773201,0.343562665032957,4.07631987373056,3.61321429581664,37.4782491899077,31.951327848065,379.097748256942,336.028929510948
"5","Spring","S_latissima",1.88229481146278,0.958306624169403,8.99761530047244,4.25813858028151,175.053417466038,89.1225160477545,836.778222943937,396.006887966181
"6","Spring","Z_marina",0.0616548649878189,1.95097251467243,0.109673699660909,0.268483895890016,5.73390244386716,181.440443864536,10.1996540684645,24.9690023177715
"7","Summer","L_digitata",2.02504096298239,1.40206274650233,12.3255723083016,7.84298224611898,190.353850520344,131.793898171219,1158.60379698035,737.240331135184
"8","Summer","S_latissima",2.15981541830496,0.533891055050822,9.5561885679222,1.45347643466968,203.022649320666,50.1857591747773,898.281725384686,136.62678485895
"9","Summer","Z_marina",3.81583673690237,0.517179966129903,1.19020004225116,0.192122355079058,358.688653268823,48.6149168162109,111.878803971609,18.0595013774314
"10","Winter","L_digitata",0.317017328598976,0.410661423266867,2.45247716276318,3.98449817424087,28.5315595739079,36.959528094018,220.722944648686,358.604835681678
"11","Winter","S_latissima",1.45120397584752,0.611048973732606,7.04902931708593,2.77950752588096,130.608357826277,54.9944076359346,634.412638537734,250.155677329286
"12","Winter","Z_marina",-0.724055722590889,1.8629995652935,-0.0174605045700464,0.219328983114108,-65.16501503318,167.669960876415,-1.57144541130417,19.7396084802697
"13","Total","L_digitata",NA,NA,NA,NA,441.574308872812,173.148666381708,3210.20065559932,1107.52750599413
"14","Total","S_latissima",NA,NA,NA,NA,636.053560456841,177.151744353852,2533.98092185522,634.867144252514
"15","Total","Z_marina",NA,NA,NA,NA,430.905565905251,296.675468585338,140.980493496367,53.4895750200719
